op_slug,country_slug
operation-cronos-phase1,switzerland
operation-cronos-phase1,ukraine
operation-cronos-phase1,united-kingdom
operation-cronos-phase1,united-states
operation-cronos-phase3,australia
operation-cronos-phase3,canada
operation-cronos-phase3,france
operation-cronos-phase3,germany
operation-cronos-phase3,japan
operation-cronos-phase3,netherlands
operation-cronos-phase3,romania
operation-cronos-phase3,spain
operation-cronos-phase3,sweden
operation-cronos-phase3,switzerland
operation-cronos-phase3,united-kingdom
operation-cronos-phase3,united-states
operation-cyber-guardian,hong-kong
operation-cyber-guardian,japan
operation-cyber-guardian,malaysia
operation-cyber-guardian,singapore
operation-cyber-guardian,south-korea
operation-cyber-guardian,thailand
operation-dark-huntor,australia
operation-dark-huntor,bulgaria
operation-dark-huntor,france
operation-dark-huntor,germany
operation-dark-huntor,italy
operation-dark-huntor,netherlands
operation-dark-huntor,switzerland
operation-dark-huntor,united-kingdom
operation-dark-huntor,united-states
operation-destabilise,united-kingdom
operation-destabilise,united-states
operation-endgame,armenia
operation-endgame,australia
operation-endgame,bulgaria
operation-endgame,canada
operation-endgame,denmark
operation-endgame,france
operation-endgame,germany
operation-endgame,lithuania
operation-endgame,netherlands
operation-endgame,portugal
operation-endgame,romania
operation-endgame,switzerland
operation-endgame,ukraine
operation-endgame,united-kingdom
operation-endgame,united-states
operation-endgame-phase1,armenia
operation-endgame-phase1,bulgaria
operation-endgame-phase1,denmark
operation-endgame-phase1,france
operation-endgame-phase1,germany
operation-endgame-phase1,lithuania
operation-endgame-phase1,netherlands
operation-endgame-phase1,portugal
operation-endgame-phase1,romania
operation-endgame-phase1,switzerland
operation-endgame-phase1,ukraine
operation-endgame-phase1,united-kingdom
operation-endgame-phase1,united-states
operation-endgame-phase2,canada
operation-endgame-phase2,denmark
operation-endgame-phase2,france
operation-endgame-phase2,germany
operation-endgame-phase2,netherlands
operation-endgame-phase2,united-kingdom
operation-endgame-phase2,united-states
operation-eur-100m-crypto-investment-fraud-2025,bulgaria
operation-eur-100m-crypto-investment-fraud-2025,italy
operation-eur-100m-crypto-investment-fraud-2025,lithuania
operation-eur-100m-crypto-investment-fraud-2025,portugal
operation-eur-100m-crypto-investment-fraud-2025,romania
operation-eur-100m-crypto-investment-fraud-2025,spain
operation-eur-100m-illegal-financial-service-laundering-2025,cyprus
operation-eur-100m-illegal-financial-service-laundering-2025,france
operation-eur-100m-illegal-financial-service-laundering-2025,germany
operation-eur-100m-illegal-financial-service-laundering-2025,spain
operation-eur-300m-global-credit-card-fraud-2025,canada
operation-eur-300m-global-credit-card-fraud-2025,cyprus
operation-eur-300m-global-credit-card-fraud-2025,germany
operation-eur-300m-global-credit-card-fraud-2025,italy
operation-eur-300m-global-credit-card-fraud-2025,luxembourg
operation-eur-300m-global-credit-card-fraud-2025,netherlands
operation-eur-300m-global-credit-card-fraud-2025,singapore
operation-eur-300m-global-credit-card-fraud-2025,spain
operation-eur-300m-global-credit-card-fraud-2025,united-kingdom
operation-eur-300m-global-credit-card-fraud-2025,united-states
operation-eur-3m-online-investment-fraud-2025,albania
operation-eur-3m-online-investment-fraud-2025,belgium
operation-eur-3m-online-investment-fraud-2025,cyprus
operation-eur-3m-online-investment-fraud-2025,germany
