slug,degree,betweenness,closeness,eigenvector
europol-ec3,0.6712328767123288,0.36894082922686117,0.746510067114094,0.3726533953687384
fbi-cyber-division,0.5616438356164384,0.29249699914554783,0.6908695652173913,0.3249240409146009
eurojust,0.3835616438356164,0.07157646957246562,0.5885185185185186,0.2425071638659799
us-doj,0.273972602739726,0.04605242508942817,0.5506435643564357,0.1561896138436406
netherlands-politie,0.2602739726027397,0.026300400236107607,0.5055909090909091,0.19644472092881993
uk-nca,0.2465753424657534,0.01884549733318139,0.501036036036036,0.1938318082097694
germany-bka,0.2191780821917808,0.018760986024794094,0.49,0.16787761363181164
interpol,0.1917808219178082,0.19045693527431654,0.5033031674208144,0.021499117869792066
us-secret-service,0.1232876712328767,0.011137523653857846,0.5033031674208144,0.08012129504637658
canada-rcmp,0.1095890410958904,0.0034219719785334606,0.47534188034188035,0.10964319422371971
australia-afp,0.1095890410958904,0.0035034875921558955,0.4713135593220339,0.09057152171165846
japan-npa,0.0821917808219178,0.029201766257312443,0.44670682730923694,0.0581666272644252
france-gendarmerie,0.0821917808219178,0.012615759182986722,0.4815151515151515,0.07564434023208423
afripol,0.0547945205479452,0.0002684563758389262,0.30641873278236914,0.0006449820938330705
us-dhs,0.0547945205479452,0.0025613597081706107,0.45215447154471544,0.017662429483362926
spanish-national-police,0.0547945205479452,0.001108493703387775,0.42454198473282445,0.024326504009992485
switzerland-fedpol,0.0547945205479452,0.000673500269712016,0.4596280991735537,0.06139905801228133
sweden-police,0.0547945205479452,0.0004529853532058488,0.43791338582677164,0.04529237766588922
j-cat,0.0547945205479452,0.003981637779303123,0.45773662551440325,0.021690938319274676
ukraine-police,0.0547945205479452,0.000702916402466318,0.45215447154471544,0.053613476876608855
germany-lka,0.0547945205479452,0.0012771006238811947,0.4634583333333333,0.049636296550981826
france-national-police,0.0547945205479452,0.000650940033933114,0.45215447154471544,0.060047336869210634
denmark-police,0.0547945205479452,0.00036540761964932035,0.448508064516129,0.057381214303679574
spain-guardia-civil,0.0410958904109589,0.0002984785375472556,0.43280155642023344,0.029506939708639705
germany-frankfurt-prosecutor,0.0410958904109589,0.00166458330385082,0.4503238866396761,0.0383362740273178
kaspersky-lab,0.0410958904109589,0.0022499607392197415,0.45215447154471544,0.013733258064332713
knpa-cyber-bureau,0.0410958904109589,0.003844420972231562,0.32334302325581393,0.0007563156642347782
us-treasury,0.0410958904109589,0.0005735382582691935,0.41973584905660377,0.015414534334724915
armenia-police,0.0273972602739726,3.5359879677756065e-05,0.44492,0.03258517984708604
dutch-nhtcu,0.0273972602739726,0.0008174933568291437,0.44670682730923694,0.008337316174829185
trend-micro,0.0273972602739726,0.0029839165257348455,0.3944326241134752,0.002979634766652645
us-dcis,0.0273972602739726,4.0720806838650155e-05,0.44492,0.03441155822619121
shadowserver,0.0273972602739726,0.0006054678864250299,0.4503238866396761,0.013901978536338472
romania-police,0.0273972602739726,3.5359879677756065e-05,0.44492,0.03258517984708604
london-metropolitan-police,0.0273972602739726,0.001397378124645279,0.4413888888888889,0.009023721186011744
lithuania-police,0.0273972602739726,3.5359879677756065e-05,0.44492,0.03258517984708604
bulgaria-police,0.0273972602739726,3.5359879677756065e-05,0.44492,0.03258517984708604
portugal-police,0.0273972602739726,3.5359879677756065e-05,0.44492,0.03258517984708604
microsoft,0.0273972602739726,0.0009966698632352707,0.44670682730923694,0.009925060530464326
france-junalco,0.0273972602739726,4.0720806838650155e-05,0.44492,0.03441155822619121
interpol-asean-desk,0.0273972602739726,0.00011931394481730053,0.30641873278236914,0.00034108765198456796
chinese-police-qingdao,0.0136986301369863,0.0,1.008888888888889,5.384857538594089e-45
cbi-india,0.0136986301369863,0.0,0.38621527777777775,0.0026705890913136555
belgium-federal-police,0.0136986301369863,0.0,0.4431474103585657,0.018796611001593546
croatia-hrvatska-policija,0.0136986301369863,0.0,0.3875609756097561,0.0034396712585041274
czechia-police,0.0136986301369863,0.0,0.41973584905660377,0.011847209797526934
dea,0.0136986301369863,0.0,0.3707666666666667,0.003924715801126588
knpa,0.0136986301369863,0.0,0.30390710382513664,0.00015769728741283983
intel-security,0.0136986301369863,0.0,0.411962962962963,0.005539736388813896
icann,0.0136986301369863,0.0,0.4413888888888889,0.008362242147524577
