slug,degree,betweenness,closeness,eigenvector
united-states,0.6712328767123288,0.2192613238411742,0.71712158808933,0.30528125301738235
united-kingdom,0.4657534246575342,0.08751075012741394,0.6465324384787472,0.2547714410419223
germany,0.4383561643835616,0.06935356994281416,0.621505376344086,0.23624705295720433
netherlands,0.3972602739726027,0.045489398588482846,0.5283363802559415,0.19888999013148484
france,0.3424657534246575,0.04646406440641165,0.613588110403397,0.1995949507169349
spain,0.2602739726027397,0.04080507150575037,0.5958762886597938,0.1250057782183375
australia,0.2602739726027397,0.031568373870332074,0.6008316008316008,0.1605962168776145
canada,0.2054794520547945,0.013820912036271003,0.5700197238658777,0.13870427270299565
romania,0.1917808219178082,0.01815722210525916,0.5814889336016097,0.12778530533064905
italy,0.1780821917808219,0.011455947764713207,0.5381750465549349,0.09126291088740311
sweden,0.1780821917808219,0.015839458144769905,0.5791583166332666,0.12789956522433443
japan,0.1643835616438356,0.01949479495008082,0.5589941972920697,0.0924476942605719
switzerland,0.1643835616438356,0.011185297375808404,0.5026086956521739,0.10068712416504552
poland,0.1643835616438356,0.018618864963049975,0.5791583166332666,0.10799347134306075
ukraine,0.1506849315068493,0.007004355270942708,0.4792703150912106,0.07607952258033526
singapore,0.136986301369863,0.025458206252331503,0.5700197238658777,0.07637776782194401
bulgaria,0.136986301369863,0.006848376394349984,0.5504761904761905,0.09321011731561225
austria,0.1232876712328767,0.012823171285219473,0.5568400770712909,0.06573178995092299
belgium,0.1232876712328767,0.009141298089057554,0.4873524451939292,0.057027604857811956
nigeria,0.1232876712328767,0.10710754503177138,0.5768463073852296,0.03679142609192979
thailand,0.1232876712328767,0.014088129991747746,0.5381750465549349,0.051838510165270156
portugal,0.1095890410958904,0.007549666559008912,0.5341959334565619,0.06460453103613434
lithuania,0.1095890410958904,0.002280719073572226,0.4745484400656814,0.06749888094697581
denmark,0.0958904109589041,0.0011016437424618082,0.42814814814814817,0.044823611808281864
finland,0.0958904109589041,0.007182750188889127,0.518850987432675,0.06536924080974349
malaysia,0.0958904109589041,0.011669265414947864,0.5283363802559415,0.03602523917201994
south-korea,0.0958904109589041,0.01442946923361693,0.5264116575591985,0.04162936453992095
latvia,0.0821917808219178,0.00126892388895454,0.45800316957210774,0.04821208283994945
south-africa,0.0684931506849315,0.0657659436052746,0.5568400770712909,0.025397375471308055
hungary,0.0684931506849315,0.002654071326587746,0.46991869918699186,0.03774331474899178
moldova,0.0684931506849315,0.001349251802785592,0.463884430176565,0.030618324700464942
india,0.0684931506849315,0.005396016368098354,0.544256120527307,0.044256809929189164
ireland,0.0684931506849315,0.00366010404954616,0.5341959334565619,0.04475909558707292
czech-republic,0.0547945205479452,0.00031699642709765314,0.446676970633694,0.03425428524869455
philippines,0.0547945205479452,0.0027305060977856183,0.5133214920071048,0.02703902790041505
luxembourg,0.0547945205479452,0.0008742382357816308,0.4683954619124797,0.03751867154570531
indonesia,0.0547945205479452,0.0027305060977856183,0.5133214920071048,0.02703902790041505
armenia,0.0547945205479452,0.0018046841354383625,0.5322283609576427,0.04794709899501448
cyprus,0.0547945205479452,0.00046150521526876225,0.42313323572474376,0.018530214172320758
ghana,0.0547945205479452,0.04392669953089312,0.5463137996219282,0.03019664014852321
albania,0.0410958904109589,0.0029986575839950815,0.5043630017452007,0.01814086885924864
colombia,0.0410958904109589,0.0329612163363179,0.4745484400656814,0.02017027248244579
georgia,0.0410958904109589,0.00013474868829138392,0.4182344428364689,0.018050115198391
greece,0.0410958904109589,9.746338198784892e-05,0.4076163610719323,0.012356392880985563
cambodia,0.0410958904109589,0.0012987690537114432,0.511504424778761,0.025799926522276955
taiwan,0.0410958904109589,0.0004025843995343003,0.45800316957210774,0.029023115394470052
kenya,0.0410958904109589,0.010319161529726196,0.463884430176565,0.006483627644852576
brazil,0.0410958904109589,0.043105137070958165,0.518850987432675,0.02448360749852296
vietnam,0.0410958904109589,0.0014514397018211423,0.4974182444061962,0.015855739476403802
zambia,0.0273972602739726,0.0008541330778899838,0.3537331701346389,0.0009122255075746897
united-arab-emirates,0.0273972602739726,0.00032758566621410453,0.507908611599297,0.024099081233701997
norway,0.0273972602739726,0.000275644469406755,0.45511811023622045,0.017208588156293864
china,0.0273972602739726,0.002780959375844423,0.4906621392190153,0.013202328677896003
