kind,slug,role,core_periphery,partition_value,degree,betweenness,total_brokerage
country,argentina,specialist-broker,core,south-america,0.0273972602739726,0.0282173094660549,574
country,armenia,participant,core,eastern-europe,0.0547945205479452,0.0018046841354383,638
country,australia,participant,core,oceania,0.2602739726027397,0.031568373870332,1884
country,austria,participant,core,western-europe,0.1232876712328767,0.0128231712852194,1184
country,azerbaijan,participant,core,caucasus,0.0136986301369863,0.0,0
country,belarus,participant,core,eastern-europe,0.0273972602739726,7.49475796479074e-05,0
country,belgium,participant,core,western-europe,0.1232876712328767,0.0091412980890575,448
country,belize,participant,core,central-america,0.0136986301369863,0.0,0
country,benin,participant,core,west-africa,0.0273972602739726,0.0008541330778899,90
country,bolivia,participant,core,south-america,0.0136986301369863,0.0,0
country,bosnia-and-herzegovina,participant,core,southeastern-europe,0.0136986301369863,0.0,0
country,botswana,participant,core,unknown,0.0136986301369863,0.0,0
country,brazil,specialist-broker,core,south-america,0.0410958904109589,0.0431051370709581,748
country,brunei,participant,core,unknown,0.0273972602739726,0.0003634739937482,56
country,bulgaria,participant,core,eastern-europe,0.136986301369863,0.0068483763943499,818
country,burkina-faso,participant,core,unknown,0.0136986301369863,0.0,0
country,cambodia,participant,core,unknown,0.0410958904109589,0.0012987690537114,234
country,cameroon,participant,core,central-africa,0.0273972602739726,0.0008563535911602,90
country,canada,participant,core,north-america,0.2054794520547945,0.013820912036271,1174
country,chad,participant,core,unknown,0.0136986301369863,0.0,0
country,chile,participant,core,south-america,0.0136986301369863,0.0,0
country,china,participant,core,east-asia,0.0273972602739726,0.0027809593758444,0
country,colombia,specialist-broker,core,south-america,0.0410958904109589,0.0329612163363179,624
country,congo,participant,core,unknown,0.0136986301369863,0.0,0
country,cote-d-ivoire,participant,core,unknown,0.0136986301369863,0.0,0
country,cote-divoire,participant,core,west-africa,0.0273972602739726,0.0006913662593163,20
country,croatia,participant,core,southeastern-europe,0.0136986301369863,0.0,0
country,cyprus,participant,core,eastern-mediterranean,0.0547945205479452,0.0004615052152687,28
country,czech-republic,participant,core,central-europe,0.0547945205479452,0.0003169964270976,36
country,czechia,participant,core,central-europe,0.0136986301369863,0.0,0
country,democratic-republic-of-the-congo,participant,core,unknown,0.0136986301369863,0.0,0
country,denmark,participant,core,northern-europe,0.0958904109589041,0.0011016437424618,26
country,djibouti,participant,core,unknown,0.0136986301369863,0.0,0
country,ecuador,participant,core,south-america,0.0136986301369863,0.0,0
country,eu-member-states,participant,core,unknown,0.0136986301369863,0.0,0
country,finland,participant,core,northern-europe,0.0958904109589041,0.0071827501888891,384
country,france,regional-coordinator,core,western-europe,0.3424657534246575,0.0464640644064116,1974
country,gabon,participant,core,unknown,0.0136986301369863,0.0,0
country,gambia,participant,core,west-africa,0.0136986301369863,0.0,0
country,georgia,participant,core,south-caucasus,0.0410958904109589,0.0001347486882913,0
country,germany,regional-coordinator,core,western-europe,0.4383561643835616,0.0693535699428141,1554
country,ghana,specialist-broker,core,west-africa,0.0547945205479452,0.0439266995308931,1546
