slug,title,crime_category
csam-ic,CSAM (Child Sexual Abuse Material) — International Cooperation Perspective,content-related
dark-web-ic,Dark Web - IC Perspective,
illegal-iptv-ic,Illegal IPTV and Streaming Piracy Operations in International Cooperation,cyber-enabled
malware-ic,Malware Operations in International Cooperation,cyber-dependent
ransomware-ic,Ransomware — International Cooperation Perspective,cyber-dependent
voice-phishing-ic,Voice Phishing / Phone-Enabled Fraud - International Cooperation Perspective,cyber-enabled
