op_slug,country_slug
operation-cronos-phase3,switzerland
operation-cronos-phase3,united-kingdom
operation-cronos-phase3,united-states
operation-cyber-guardian,hong-kong
operation-cyber-guardian,japan
operation-cyber-guardian,malaysia
operation-cyber-guardian,singapore
operation-cyber-guardian,south-korea
operation-cyber-guardian,thailand
operation-dark-huntor,australia
operation-dark-huntor,bulgaria
operation-dark-huntor,france
operation-dark-huntor,germany
operation-dark-huntor,italy
operation-dark-huntor,netherlands
operation-dark-huntor,switzerland
operation-dark-huntor,united-kingdom
operation-dark-huntor,united-states
operation-delilah,australia
operation-delilah,canada
operation-delilah,nigeria
operation-delilah,united-states
operation-destabilise,united-kingdom
operation-destabilise,united-states
operation-endgame,armenia
operation-endgame,australia
operation-endgame,bulgaria
operation-endgame,canada
operation-endgame,denmark
operation-endgame,france
operation-endgame,germany
operation-endgame,lithuania
operation-endgame,netherlands
operation-endgame,portugal
operation-endgame,romania
operation-endgame,switzerland
operation-endgame,ukraine
operation-endgame,united-kingdom
operation-endgame,united-states
operation-endgame-phase1,armenia
operation-endgame-phase1,bulgaria
operation-endgame-phase1,denmark
operation-endgame-phase1,france
operation-endgame-phase1,germany
operation-endgame-phase1,lithuania
operation-endgame-phase1,netherlands
operation-endgame-phase1,portugal
operation-endgame-phase1,romania
operation-endgame-phase1,switzerland
operation-endgame-phase1,ukraine
operation-endgame-phase1,united-kingdom
operation-endgame-phase1,united-states
operation-endgame-phase2,canada
operation-endgame-phase2,denmark
operation-endgame-phase2,france
operation-endgame-phase2,germany
operation-endgame-phase2,netherlands
operation-endgame-phase2,united-kingdom
operation-endgame-phase2,united-states
operation-falcon,nigeria
operation-goldfish-alpha-night-fury,indonesia
operation-goldfish-alpha-night-fury,malaysia
operation-goldfish-alpha-night-fury,myanmar
operation-goldfish-alpha-night-fury,philippines
operation-goldfish-alpha-night-fury,singapore
operation-goldfish-alpha-night-fury,thailand
operation-goldfish-alpha-night-fury,vietnam
operation-heart-blocker,netherlands
operation-heart-blocker,pakistan
operation-heart-blocker,united-states
operation-killer-bee,brunei
operation-killer-bee,cambodia
operation-killer-bee,indonesia
operation-killer-bee,laos
operation-killer-bee,malaysia
operation-killer-bee,myanmar
operation-killer-bee,nigeria
operation-killer-bee,philippines
operation-killer-bee,singapore
operation-killer-bee,thailand
operation-killer-bee,vietnam
operation-lyrebird,morocco
operation-morpheus,australia
operation-morpheus,canada
operation-morpheus,germany
operation-morpheus,netherlands
operation-morpheus,poland
operation-morpheus,united-kingdom
operation-morpheus,united-states
operation-nervone,cote-divoire
operation-nervone,united-states
operation-nova,france
operation-nova,germany
operation-nova,netherlands
operation-nova,switzerland
operation-nova,united-states
operation-onymous,bulgaria
operation-onymous,czech-republic
operation-onymous,finland
operation-onymous,france
operation-onymous,germany
operation-onymous,hungary
operation-onymous,ireland
operation-onymous,latvia
operation-onymous,lithuania
operation-onymous,luxembourg
operation-onymous,netherlands
operation-onymous,romania
operation-onymous,spain
operation-onymous,sweden
operation-onymous,switzerland
operation-onymous,united-kingdom
operation-onymous,united-states
operation-orion-international,argentina
operation-orion-international,bolivia
operation-orion-international,brazil
operation-orion-international,chile
operation-orion-international,colombia
operation-orion-international,ecuador
operation-orion-international,guyana
operation-orion-international,paraguay
operation-orion-international,peru
operation-orion-international,suriname
operation-orion-international,uruguay
operation-orion-international,venezuela
operation-pleiades,australia
operation-pleiades,austria
operation-pleiades,bosnia-and-herzegovina
operation-pleiades,france
operation-pleiades,germany
operation-pleiades,japan
operation-pleiades,romania
operation-pleiades,switzerland
operation-pleiades,united-kingdom
operation-pleiades,united-states
operation-secure-interpol,brunei
operation-secure-interpol,cambodia
operation-secure-interpol,hong-kong
operation-secure-interpol,india
operation-secure-interpol,indonesia
operation-secure-interpol,japan
operation-secure-interpol,kazakhstan
operation-secure-interpol,laos
operation-secure-interpol,macau
operation-secure-interpol,malaysia
operation-secure-interpol,philippines
operation-secure-interpol,singapore
operation-secure-interpol,south-korea
operation-secure-interpol,thailand
operation-secure-interpol,vietnam
operation-sentinel-africa,benin
operation-sentinel-africa,botswana
operation-sentinel-africa,burkina-faso
operation-sentinel-africa,cameroon
operation-sentinel-africa,chad
operation-sentinel-africa,congo
operation-sentinel-africa,democratic-republic-of-the-congo
operation-sentinel-africa,djibouti
operation-sentinel-africa,gabon
operation-sentinel-africa,ghana
operation-sentinel-africa,kenya
operation-sentinel-africa,malawi
operation-sentinel-africa,nigeria
operation-sentinel-africa,senegal
operation-sentinel-africa,south-africa
operation-sentinel-africa,south-sudan
operation-sentinel-africa,uganda
operation-sentinel-africa,zambia
operation-sentinel-africa,zimbabwe
operation-serengeti,algeria
operation-serengeti,angola
operation-serengeti,benin
operation-serengeti,cameroon
operation-serengeti,cote-divoire
operation-serengeti,democratic-republic-of-the-congo
operation-serengeti,gabon
operation-serengeti,ghana
operation-serengeti,kenya
operation-serengeti,mauritius
operation-serengeti,mozambique
operation-serengeti,nigeria
operation-serengeti,rwanda
operation-serengeti,senegal
operation-serengeti,south-africa
operation-serengeti,tanzania
operation-serengeti,tunisia
operation-serengeti,zambia
operation-serengeti,zimbabwe
operation-shrouded-horizon,australia
operation-shrouded-horizon,bosnia-and-herzegovina
operation-shrouded-horizon,brazil
operation-shrouded-horizon,canada
operation-shrouded-horizon,colombia
operation-shrouded-horizon,costa-rica
operation-shrouded-horizon,croatia
operation-shrouded-horizon,cyprus
operation-shrouded-horizon,denmark
operation-shrouded-horizon,finland
operation-shrouded-horizon,germany
operation-shrouded-horizon,israel
operation-shrouded-horizon,latvia
