slug,degree,betweenness,closeness,eigenvector
malware-ic,0.6111111111111112,0.6332414369256475,0.541795665634675,0.17335817176797863
ransomware-ic,0.4027777777777778,0.2978743961352658,0.40045766590389015,0.11077666629202473
dark-web-ic,0.20833333333333334,0.14221750027242014,0.341130604288499,0.043122529870638776
csam-ic,0.08333333333333333,0.1175438596491228,0.2743561030235162,0.0034681819382681284
illegal-iptv-ic,0.06944444444444445,0.003508771929824561,0.06578947368421052,4.685000093334536e-54
