excel_sheet,excel_row,year,operation_name_raw,operation_name_canonical_candidate,source_url,matched_source_slug,matched_operation_slug,excel_agencies,wiki_agencies,excel_countries,wiki_countries,excel_crime_types,wiki_crime_types,review_status,review_note
1_데이터수집(URL),19,2018,(가칭)Operation CardStorm,operation-cardstorm,https://www.bbc.com/news/uk-43893420,bbc-banking-trojan-fraud-sentencing,imminent-monitor-rat-takedown,fbi-cyber-division;uk-nca,australia-afp;eurojust;europol-ec3,france;germany;united-kingdom;united-states,australia;colombia;czech-republic;netherlands;poland;spain;sweden;united-kingdom,,malware-ic,out_of_scope_or_non_ic,no_target_five_crime_type_detected
1_데이터수집(URL),22,2018,(가칭)Operation RexMundi,operation-rexmundi,https://www.europol.europa.eu/media-press/newsroom/news/french-coder-who-helped-extort-british-company-arrested-in-thailand,2018-05-18_europol-europa-eu_french-coder-who-helped-extort-british-company-arrested-in-thailand,operation-europol-french-coder-who-helped-extort-british-company-arrested-in-thailand,europol-ec3,europol-ec3,france;united-kingdom,belgium;france;thailand;united-kingdom,,,out_of_scope_or_non_ic,no_target_five_crime_type_detected
1_데이터수집(URL),26,2019,(가칭)Operation Manila 600,operation-manila-600,https://www.scmp.com/news/asia/southeast-asia/article/3027741/more-320-chinese-arrested-philippines-illegal-online,,imminent-monitor-rat-takedown,,australia-afp;eurojust;europol-ec3,china,australia;colombia;czech-republic;netherlands;poland;spain;sweden;united-kingdom,,malware-ic,out_of_scope_or_non_ic,no_target_five_crime_type_detected;no_clear_international_cooperation_signal
1_데이터수집(URL),27,2020,(가칭)Operation Latvian Wash,operation-latvian-wash,https://eng.lsm.lv/article/society/crime/latvian-police-played-leading-role-in-us-cybercrime-crackdown.a378200/,,imminent-monitor-rat-takedown,europol-ec3;fbi-cyber-division;us-doj,australia-afp;eurojust;europol-ec3,united-states,australia;colombia;czech-republic;netherlands;poland;spain;sweden;united-kingdom,,malware-ic,out_of_scope_or_non_ic,no_target_five_crime_type_detected
1_데이터수집(URL),28,2020,(가칭)Operation Karachi Stalk,operation-karachi-stalk,https://dailytimes.com.pk/676333/ae7-architect-george-girgis-behind-fake-accounts-cybercrime-network/#google_vignette,,imminent-monitor-rat-takedown,,australia-afp;eurojust;europol-ec3,united-kingdom;united-states,australia;colombia;czech-republic;netherlands;poland;spain;sweden;united-kingdom,,malware-ic,out_of_scope_or_non_ic,no_target_five_crime_type_detected
1_데이터수집(URL),29,2021,(가칭)Operation DoubleVPN,operation-doublevpn,https://www.welivesecurity.com/2021/06/30/global-police-vpn-service-cybercriminals/,,doublevpn-takedown,fbi-cyber-division;interpol,canada-rcmp;eurojust;europol-ec3;fbi-cyber-division;germany-bka;netherlands-politie;uk-nca;us-doj;us-secret-service,australia;canada;india;united-states,bulgaria;canada;germany;italy;netherlands;sweden;switzerland;united-kingdom;united-states,,ransomware-ic,out_of_scope_or_non_ic,no_target_five_crime_type_detected
1_데이터수집(URL),31,2022,(가칭)Operation Black Axe,operation-black-axe,https://therecord.media/us-arrests-33-bec-scammers-linked-to-nigerian-crime-syndicate,,black-axe-bec-2021,fbi-cyber-division;us-doj,interpol,united-states,international;ireland;nigeria;south-africa;united-kingdom;united-states,,,out_of_scope_or_non_ic,no_target_five_crime_type_detected;no_clear_international_cooperation_signal
1_데이터수집(URL),32,2022,(가칭)Operation Marketplace A,operation-marketplace-a,https://cyberscoop.com/igor-dekhtyarchuk-marketplace-a-indictment-doj-fbi/,2022-03-22_cyberscoop_igor-dekhtyarchuk-marketplace-a-indictment-doj-fbi,operation-ssndob-marketplace-administrator-pleads-guilty-to-charges-related-to-his-operation-of-a-series-of-websites-tha,fbi-cyber-division;us-doj,us-doj,united-states,united-states,,,out_of_scope_or_non_ic,no_target_five_crime_type_detected;no_clear_international_cooperation_signal
1_데이터수집(URL),33,2022,(가칭)Operation Molo Sanction,operation-molo-sanction,https://www.pressherald.com/2022/04/06/u-s-charges-russian-oligarch-dismantles-cybercrime-operation/,,imminent-monitor-rat-takedown,fbi-cyber-division;us-doj,australia-afp;eurojust;europol-ec3,united-states,australia;colombia;czech-republic;netherlands;poland;spain;sweden;united-kingdom,,malware-ic,out_of_scope_or_non_ic,no_target_five_crime_type_detected;no_clear_international_cooperation_signal
1_데이터수집(URL),34,2022,(가칭)Operation Raccoon Sweep,operation-raccoon-sweep,https://www.scworld.com/brief/cybercriminals-increasingly-using-caramel-credit-card-theft-service,,imminent-monitor-rat-takedown,dutch-police;fbi-cyber-division;us-doj,australia-afp;eurojust;europol-ec3,italy;netherlands;united-states,australia;colombia;czech-republic;netherlands;poland;spain;sweden;united-kingdom,,malware-ic,out_of_scope_or_non_ic,no_target_five_crime_type_detected
1_데이터수집(URL),35,2023,(가칭)Operation IRS Scamcall,operation-irs-scamcall,https://theprint.in/india/delhi-police-busts-international-cyber-crime-syndicate-in-operation-with-fbi-interpol/1631464/,,imminent-monitor-rat-takedown,fbi-cyber-division;interpol,australia-afp;eurojust;europol-ec3,india;united-states,australia;colombia;czech-republic;netherlands;poland;spain;sweden;united-kingdom,,malware-ic,out_of_scope_or_non_ic,no_target_five_crime_type_detected
1_데이터수집(URL),41,2024,(가칭)Operation Rydox,operation-rydox,https://cyberscoop.com/rydox-cybercriminal-marketplace-seized-doj-albania-kosovo/,2024-12-12_cyberscoop-com_rydox-cybercriminal-marketplace-seized-doj-albania-kosovo,rydox-marketplace-takedown,fbi-cyber-division,fbi-cyber-division;us-doj,kosovo;united-states,albania;kosovo;malaysia;united-states,,,out_of_scope_or_non_ic,no_target_five_crime_type_detected
1_데이터수집(URL),42,2023,(가칭)Operation ScamCamp,operation-scamcamp,https://www.nytimes.com/2024/09/10/business/scammers-trafficking-cybercrime.html,,imminent-monitor-rat-takedown,interpol,australia-afp;eurojust;europol-ec3,,australia;colombia;czech-republic;netherlands;poland;spain;sweden;united-kingdom,,malware-ic,out_of_scope_or_non_ic,no_target_five_crime_type_detected
1_데이터수집(URL),44,2024,(가칭)Operation 911 S5,operation-911-s5,https://www.business-standard.com/world-news/man-suspected-of-operating-world-s-largest-ever-cybercrime-botnet-held-124053000064_1.html,,imminent-monitor-rat-takedown,fbi-cyber-division;us-doj,australia-afp;eurojust;europol-ec3,united-states,australia;colombia;czech-republic;netherlands;poland;spain;sweden;united-kingdom,csam-ic,malware-ic,out_of_scope_or_non_ic,no_clear_international_cooperation_signal
1_데이터수집(URL),46,2024,(가칭)Operation Lusaka Scam,operation-lusaka-scam,https://therecord.media/zambia-guilty-pleas-chinese-nationals-scam-call-center,2024-06-05-therecord-zambia-golden-top-guilty-pleas,zambia-golden-top-call-center,,zambia-anti-terrorism-unit;zambia-drug-enforcement-commission-dec;zambia-immigration-department;zambia-police-service,china,china;zambia,,,out_of_scope_or_non_ic,no_target_five_crime_type_detected;no_clear_international_cooperation_signal
